2025-11-25 19:56:55,359 | INFO | okx_data.streams | WebSocket 连接已启动，已订阅 trades-all 频道
2025-11-25 19:56:55,794 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:56:56,444 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:56:56,993 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:56:57,549 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:56:58,103 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:56:58,659 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:56:59,249 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:56:59,843 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:57:00,494 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:57:01,145 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:57:01,794 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:57:02,452 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:57:03,096 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:57:03,753 | INFO | httpx | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=BTC-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2025-11-25 19:57:03,831 | INFO | okx.websocket.WebSocketFactory | WebSocket connection established.
2025-11-25 19:57:03,831 | INFO | okx_data.streams | 已订阅 trades-all 频道: instId=BTC-USDT-SWAP
